Result listing  SAM 7.0.97    Mechanism: Prototyp 2 - wlasciwe wymiary

________________________________________________________________________
Nr	Time	Ux(2)	Fx(2)	Fabs(10)	T1(8)
[-]	[s]	[mm]	[N]	[N]	 [Nmm]	
  76	1,140	11,400	-46,142	47,629	-1390,570	
  77	1,155	11,550	-45,661	47,345	-1388,493	
  78	1,170	11,700	-45,187	47,063	-1386,426	
  79	1,185	11,850	-44,719	46,784	-1384,370	
  80	1,200	12,000	-44,258	46,508	-1382,324	
  81	1,215	12,150	-43,803	46,234	-1380,288	
  82	1,230	12,300	-43,354	45,963	-1378,262	
  83	1,245	12,450	-42,911	45,694	-1376,246	
  84	1,260	12,600	-42,474	45,427	-1374,241	
  85	1,275	12,750	-42,042	45,163	-1372,245	
  86	1,290	12,900	-41,617	44,902	-1370,260	
  87	1,305	13,050	-41,197	44,642	-1368,285	
  88	1,320	13,200	-40,783	44,386	-1366,320	
  89	1,335	13,350	-40,374	44,131	-1364,365	
  90	1,350	13,500	-39,970	43,879	-1362,420	
  91	1,365	13,650	-39,572	43,629	-1360,486	
  92	1,380	13,800	-39,180	43,381	-1358,561	
  93	1,395	13,950	-38,792	43,135	-1356,646	
  94	1,410	14,100	-38,409	42,892	-1354,742	
  95	1,425	14,250	-38,032	42,651	-1352,847	
  96	1,440	14,400	-37,659	42,412	-1350,963	
  97	1,455	14,550	-37,291	42,175	-1349,088	
  98	1,470	14,700	-36,928	41,940	-1347,224	
  99	1,485	14,850	-36,570	41,707	-1345,369	
 100	1,500	15,000	-36,216	41,477	-1343,524	
